SourceDS  FSD50K  if_get  type
filename  SourceTag  data_use ourtype  label_value
180312  Wail_and_moan  train  wail,moan
67682  Wail_and_moan  train  wail,moan
434309  Wail_and_moan  train  wail,moan
157874  Wail_and_moan  train  wail,moan
166124  Wail_and_moan  train  wail,moan
234039  Wail_and_moan  train  wail,moan
277562  Wail_and_moan  train  wail,moan
337092  Wail_and_moan  train  wail,moan
384214  Wail_and_moan  train  wail,moan
85218  Wail_and_moan  train  wail,moan
335355  Wail_and_moan  train  wail,moan
396898  Wail_and_moan  train  wail,moan
171758  Wail_and_moan  train  wail,moan
182014  Wail_and_moan  train  wail,moan
182015  Wail_and_moan  train  wail,moan
182016  Wail_and_moan  train  wail,moan
182018  Wail_and_moan  train  wail,moan
182020  Wail_and_moan  train  wail,moan
182021  Wail_and_moan  train  wail,moan
100219  Wail_and_moan  train  wail,moan
135154  Wail_and_moan  train  wail,moan
345049  Wail_and_moan  train  wail,moan
177468  Male_speech_and_man_speaking,Wail_and_moan  train  wail,moan
166943  Screaming,Wail_and_moan  train  wail,moan
000000  000000  000000  000000  000000
59560  Wail_and_moan  val  wail,moan
362335  Wail_and_moan  val  wail,moan
221543  Wail_and_moan  val  wail,moan
377737  Wail_and_moan  val  wail,moan
404393  Wail_and_moan  val  wail,moan
340916  Wail_and_moan  val  wail,moan
315845  Wail_and_moan  val  wail,moan
347967  Wail_and_moan,Breathing  val  wail,moan
2872  Wail_and_moan,Gong,Synthesizer  val  wail,moan
219168  Wail_and_moan,Percussion,Synthesizer  val  wail,moan
261431  Wail_and_moan,Splash_and_splatter,Waves_and_surf  val  wail,moan
112632  Male_speech_and_man_speaking,Wail_and_moan  val  wail,moan
122058  Male_speech_and_man_speaking,Wail_and_moan  val  wail,moan

